sido,sigungu,hospital_count,home_count,total_count
미상,원주시,0,1,1
미상,익산시,0,1,1
미상,장성군,0,1,1
미상,정읍시,0,1,1
미상,진주시,0,1,1
미상,창원시,0,1,1
미상,철원군,0,1,1
미상,춘천시,0,1,1
미상,태안군,0,1,1
미상,평창군,0,1,1
미상,하남시,0,1,1
미상,함안군,0,1,1
미상,홍성군,0,1,1
미상,홍천군,0,1,1
미상,화순군,0,1,1
부산,부산사하구,20,0,20
부산,부산금정구,15,0,15
부산,부산동래구,15,0,15
부산,부산북구,13,0,13
부산,부산사상구,13,0,13
부산,부산연제구,12,0,12
부산,부산진구,12,0,12
부산,부산해운대구,12,0,12
부산,부산수영구,9,0,9
부산,부산남구,7,0,7
부산,북구,0,7,7
부산,해운대구,0,7,7
부산,기장군,0,6,6
부산,사상구,0,6,6
부산,사하구,0,6,6
부산,부산기장군,5,0,5
부산,부산동구,5,0,5
부산,부산영도구,5,0,5
부산,부산서구,4,0,4
부산,부산중구,3,0,3
부산,서구,0,3,3
부산,수영구,0,2,2
부산,영도구,0,2,2
부산,금정구,0,1,1
부산,연제구,0,1,1
부산,중구,0,1,1
서울,강서구,4,19,23
서울,도봉구,6,12,18
서울,은평구,5,13,18
서울,강동구,5,7,12
서울,중랑구,2,10,12
서울,강북구,4,7,11
서울,관악구,2,8,10
서울,광진구,2,8,10
서울,동대문구,5,5,10
서울,구로구,7,2,9
서울,서대문구,5,4,9
서울,성북구,8,1,9
서울,영등포구,9,0,9
서울,종로구,1,8,9
서울,송파구,7,1,8
서울,노원구,7,0,7
서울,서초구,4,3,7
서울,성동구,3,4,7
서울,강남구,6,0,6
서울,금천구,3,3,6
서울,동작구,1,5,6
서울,마포구,3,1,4
서울,양천구,2,1,3
서울,중구,0,1,1
세종,세종,0,15,15
세종,세종시,4,0,4
울산,울산남구,15,0,15
울산,남구,0,8,8
울산,울산울주군,8,0,8
울산,울산북구,6,0,6
울산,울산중구,5,0,5
울산,북구,0,4,4
울산,울산동구,3,0,3
울산,울주군,0,3,3
울산,동구,0,2,2
울산,중구,0,2,2
인천,서구,0,55,55
인천,남동구,0,41,41
인천,미추홀구,0,36,36
인천,연수구,0,26,26
인천,부평구,0,23,23
인천,인천남동구,14,0,14
인천,중구,0,14,14
인천,인천미추홀구,13,0,13
인천,인천서구,11,0,11
인천,인천계양구,5,0,5
인천,인천부평구,5,0,5
인천,인천중구,4,0,4
인천,강화군,0,3,3
인천,인천연수구,3,0,3
인천,옹진군,0,2,2
인천,인천강화군,2,0,2
전남,여수시,10,17,27
전남,화순군,13,13,26
전남,순천시,7,18,25
전남,목포시,11,8,19
전남,무안군,4,12,16
전남,고흥군,1,14,15
전남,담양군,4,11,15
전남,광양시,4,9,13
전남,나주시,7,5,12
전남,영암군,1,11,12
전남,곡성군,1,7,8
전남,구례군,2,6,8
전남,장성군,2,6,8
전남,완도군,0,7,7
전남,보성군,3,2,5
전남,영광군,1,3,4
전남,신안군,2,1,3
전남,진도군,1,2,3
전남,해남군,1,2,3
전남,강진군,1,1,2
전남,장흥군,1,1,2
전남,함평군,1,1,2
전북,익산시,8,21,29
전북,군산시,7,19,26
전북,김제시,3,19,22
전북,전주완산구,17,0,17
전북,전주시,0,16,16
전북,전주덕진구,15,0,15
전북,고창군,5,7,12
전북,정읍시,4,7,11
전북,부안군,2,8,10
전북,완주군,3,5,8
전북,남원시,4,3,7
전북,임실군,1,5,6
전북,순창군,2,2,4
전북,진안군,0,3,3
전북,장수군,0,2,2
전북,무주군,1,0,1
제주,제주시,10,20,30
제주,서귀포시,0,19,19
제주,서귀포 시,0,1,1
충남,천안시,0,30,30
충남,아산시,6,19,25
충남,논산시,10,12,22
충남,부여군,3,18,21
충남,서천군,4,16,20
충남,당진시,3,16,19
충남,공주시,7,10,17
충남,홍성군,3,12,15
충남,금산군,2,12,14
충남,서산시,1,11,12
충남,천안동남구,10,0,10
충남,청양군,2,7,9
충남,예산군,0,8,8
충남,천안서북구,7,0,7
충남,보령시,2,0,2
충남,태안군,1,1,2
충남,계룡시,1,0,1
충북,청주시,0,50,50
충북,충주시,7,19,26
충북,제천시,5,11,16
충북,영동군,2,13,15
충북,옥천군,3,12,15
충북,진천군,1,14,15
충북,음성군,2,9,11
충북,괴산군,1,9,10
충북,증평군,1,8,9
충북,청주서원구,6,0,6
충북,보은군,3,1,4
충북,청주시 상당구,0,2,2
충북,단양군,1,0,1
충북,청주상당구,1,0,1
충북,청주시 흥덕구,0,1,1
충북,청주청원구,1,0,1
충북,청주흥덕구,1,0,1
