id,facility_type,name,sido,sigungu,address,doctor_count,lat,lon,useAprDay,strctCdNm,mainPurpsCdNm,totArea,flrNo,fire_station_dist_km,scale_group,distance_group,age_group,road_type,vam_score
1126,요양병원,친절요양병원,경남,창원마산합포구,"경상남도 창원시 마산합포구 현동로 38, 2-10층 (우산동)",6,35.15187486840646,128.5529414244564,20181102,,의료시설,8655.6465,0.0,3.057080213980017,대규모 (연면적 3000㎡ 이상),원거리 (3km 초과),신축 (2015년 이후),기타,80
1127,요양병원,칠곡군립노인요양병원,경북,칠곡군,"경상북도 칠곡군 왜관읍 금남5길 58, (왜관읍)",4,35.925352718274425,128.4120363712517, ,,의료시설,3870.87,0.0,3.9633470052213324,대규모 (연면적 3000㎡ 이상),원거리 (3km 초과),미상,기타,60
1128,요양병원,칠성요양병원,대구,대구북구,"대구광역시 북구 신암로 27, 2,4층일부,5-7층 (칠성동1가)",4,35.87531610591881,128.60537834209225,20140722,,제1종근린생활시설,5728.35,0.0,0.4502041769979474,대규모 (연면적 3000㎡ 이상),근거리 (1km 미만),일반 (2000~2015년),기타,65
1129,요양병원,카리스요양병원,경기,성남분당구,"경기도 성남시 분당구 불정로386번길 8, 1층일부~4층 (서현동)",3,37.37398628697774,127.13744098880537,20120531,,의료시설,2888.03,0.0,1.4968441253201035,중규모 (연면적 1000~3000㎡),중거리 (1~3km),일반 (2000~2015년),기타,80
1130,요양병원,케어스힐요양병원,경기,용인기흥구,"경기도 용인시 기흥구 민속촌로 28, (보라동)",3,37.254785963432,127.10789227989567,20171228,,의료시설,3653.52,0.0,1.0989329734744695,대규모 (연면적 3000㎡ 이상),중거리 (1~3km),신축 (2015년 이후),기타,100
1131,요양병원,큰나무요양병원,경기,파주시,"경기도 파주시 운정로 146-95, (상지석동)",2,37.71848292404138,126.77901736679435,20140701,,의료시설,2997.16,0.0,3.0120878556322017,중규모 (연면적 1000~3000㎡),원거리 (3km 초과),일반 (2000~2015년),기타,60
1132,요양병원,큰사랑요양병원,부산,부산사하구,"부산광역시 사하구 하신중앙로 174, (신평동)",5,35.094289772492715,128.96294604807662,19951024,,문화및집회시설,4271.94,0.0,1.0349766237727143,대규모 (연면적 3000㎡ 이상),중거리 (1~3km),노후 (2000년 이전),기타,65
1133,요양병원,큰사랑요양병원,경기,부천원미구,"경기도 부천시 원미구 부흥로373번길 78, 213,601,701호 (심곡동)",7,37.49493929256113,126.78481166644067,20150717,,제1종근린생활시설,10701.669,0.0,0.5857641790831984,대규모 (연면적 3000㎡ 이상),근거리 (1km 미만),일반 (2000~2015년),기타,85
1134,요양병원,큰사랑요양병원,충남,천안서북구,"충청남도 천안시 서북구 도원4길 7, (성정동)",3,36.819731043690496,127.13298272575483,20071228,,의료시설,3630.37,0.0,0.9782310311574692,대규모 (연면적 3000㎡ 이상),근거리 (1km 미만),일반 (2000~2015년),기타,80
1135,요양병원,큰사랑요양병원,경북,구미시,"경상북도 구미시 산업로 168-8, (원평동)",5,36.128789146704804,128.3394083734383,20011208,,의료시설,5323.58,0.0,0.10869536071384696,대규모 (연면적 3000㎡ 이상),근거리 (1km 미만),일반 (2000~2015년),기타,80
1136,요양병원,탑요양병원,경기,광명시,"경기도 광명시 목감로 256, 지하1~지상7층 (광명동)",6,37.48504361837749,126.8559758166104,20231130,,의료시설,5552.43,0.0,0.46386176270583646,대규모 (연면적 3000㎡ 이상),근거리 (1km 미만),신축 (2015년 이후),기타,100
1137,요양병원,탑요양병원,전남,광양시,"전라남도 광양시 광양읍 대림오성로 63-0, (광양읍)",2,34.96746855701436,127.56986919282397,20190726,,제1종근린생활시설,2715.85,0.0,1.2723146576048054,중규모 (연면적 1000~3000㎡),중거리 (1~3km),신축 (2015년 이후),기타,85
1138,요양병원,태종대요양병원,부산,부산영도구,"부산광역시 영도구 태종로 820-23, (동삼동)",6,35.0631938156929,129.08035052476646,20080801,,의료시설,2617.05,0.0,2.0900938761098837,중규모 (연면적 1000~3000㎡),중거리 (1~3km),일반 (2000~2015년),기타,80
1139,요양병원,태평요양병원,광주,광주동구,"광주광역시 동구 구성로 268,  (계림동)",2,35.15759583055221,126.9196704160603,20090807,,의료시설,4066.12,0.0,0.5426448651347303,대규모 (연면적 3000㎡ 이상),근거리 (1km 미만),일반 (2000~2015년),기타,80
1140,요양병원,테크노요양병원,대전,대전유성구,"대전광역시 유성구 테크노7로 31, 해성빌딩",3,36.42459971014033,127.4008003758791,20080827,,의료시설,2494.17,0.0,2.0160179706512764,중규모 (연면적 1000~3000㎡),중거리 (1~3km),일반 (2000~2015년),기타,80
1141,요양병원,토마스요양병원,강원,춘천시,"강원특별자치도 춘천시 영서로 1925-9, 춘천한방병원",4,37.84667957933513,127.75483145333173,20120326,,의료시설,3843.09,0.0,1.4270954126591293,대규모 (연면적 3000㎡ 이상),중거리 (1~3km),일반 (2000~2015년),기타,80
1142,요양병원,토마토요양병원,제주,제주시,"제주특별자치도 제주시 동광로 42, (이도이동)",3,33.50227283459969,126.53332178468202,20130122,,의료시설,2479.42,0.0,1.296186439200405,중규모 (연면적 1000~3000㎡),중거리 (1~3km),일반 (2000~2015년),기타,80
1143,요양병원,통합요양병원,충남,보령시,"충청남도 보령시 남대천로 14, (대천동)",2,36.352303058734925,126.59517977607155,20020208,,의료시설,2550.29,0.0,1.038073555164962,중규모 (연면적 1000~3000㎡),중거리 (1~3km),일반 (2000~2015년),기타,80
1144,요양병원,퇴계원 서울요양병원,경기,남양주시,"경기도 남양주시 퇴계원면 도제원로 32, (퇴계원읍)",4,37.65097565796837,127.14499927220663, ,,의료시설,3451.16,0.0,1.442353047054638,대규모 (연면적 3000㎡ 이상),중거리 (1~3km),미상,기타,80
1145,요양병원,투재암요양병원,경기,구리시,"경기도 구리시 아차산로 493, D동 (교문동, 중앙하이츠티움)",7,37.598990768139515,127.13007396692663, ,, ,0.0,0.0,0.20521414783066166,미상,근거리 (1km 미만),미상,기타,65
1146,요양병원,튼튼요양병원,대전,대전중구,"대전광역시 중구 목중로 9, 대전튼튼요양병원",7,36.334817223792726,127.41176299717532,20180921,,의료시설,14208.52,0.0,0.6082590021104058,대규모 (연면적 3000㎡ 이상),근거리 (1km 미만),신축 (2015년 이후),기타,100
1147,요양병원,파라솔요양병원,서울,금천구,"서울특별시 금천구 시흥대로73길 67, 엠타워 7,8,9,14,지하2층 (시흥동)",7,37.455940520916755,126.89567390561186, ,,제1종근린생활시설,26316.6621,0.0,0.9180931965256324,대규모 (연면적 3000㎡ 이상),근거리 (1km 미만),미상,기타,65
1148,요양병원,파주드림요양병원,경기,파주시,"경기도 파주시 시청로 6, 파주드림요양병원 1동 (금촌동)",7,37.75804434950025,126.77485369822716,20080104,,의료시설,6274.34,0.0,2.971763720462994,대규모 (연면적 3000㎡ 이상),중거리 (1~3km),일반 (2000~2015년),기타,80
1149,요양병원,파주로하스요양병원,경기,파주시,"경기도 파주시 숲속노을로 273, 바이오텍홀딩스 1~7층 (문발동)",5,37.724860590372195,126.71103203203299,20180306,,의료시설,3744.29,0.0,6.319550600974879,대규모 (연면적 3000㎡ 이상),원거리 (3km 초과),신축 (2015년 이후),기타,80
1150,요양병원,파주삼성요양병원,경기,파주시,"경기도 파주시 한마음2길 25, 금촌그린플라자 (금촌동)",0,37.75635319220672,126.77210333968506,20131128,,제1종근린생활시설,8422.15,0.0,3.104668866459445,대규모 (연면적 3000㎡ 이상),원거리 (3km 초과),일반 (2000~2015년),기타,45
1151,요양병원,파티마 요양병원,경기,성남수정구,"경기도 성남시 수정구 산성대로 231, (신흥동)",6,37.43934976642997,127.14317634940133,20150626,,의료시설,2557.76,0.0,0.24359422177470538,중규모 (연면적 1000~3000㎡),근거리 (1km 미만),일반 (2000~2015년),기타,100
1152,요양병원,파티마요양병원,대구,대구동구,"대구광역시 동구 아양로 81, 호창메디타워 7~13층 (신암동)",8,35.88338985941084,128.62272414310337,20200407,,의료시설,10366.25,0.0,0.8417480194307345,대규모 (연면적 3000㎡ 이상),근거리 (1km 미만),신축 (2015년 이후),기타,100
1153,요양병원,팔달요양병원,대구,대구서구,"대구광역시 서구 팔달로 152, 7~12층 (비산동)",5,35.88875858710211,128.56662855975088,20220701,,의료시설,12369.211,0.0,0.38333408480726544,대규모 (연면적 3000㎡ 이상),근거리 (1km 미만),신축 (2015년 이후),기타,100
1154,요양병원,팔팔요양병원,서울,도봉구,"서울특별시 도봉구 시루봉로 310, 화성빌딩 (도봉동)",6,37.67100466300326,127.04350957071293,20211008,,의료시설,5337.14,0.0,0.23293700676978302,대규모 (연면적 3000㎡ 이상),근거리 (1km 미만),신축 (2015년 이후),기타,100
1155,요양병원,퍼스트요양병원,서울,도봉구,"서울특별시 도봉구 삼양로 616, 2-5층 (쌍문동)",3,37.65802351436558,127.01405349656592,20040813,,업무시설,4363.6,0.0,1.5658168579609812,대규모 (연면적 3000㎡ 이상),중거리 (1~3km),일반 (2000~2015년),기타,65
1156,요양병원,편안한요양병원,서울,광진구,"서울특별시 광진구 자양로 38, 편안한요양병원 (자양동)",8,37.531619056788145,127.08645465750779,20060622,,제1종근린생활시설,8652.33,0.0,1.4822811469654518,대규모 (연면적 3000㎡ 이상),중거리 (1~3km),일반 (2000~2015년),기타,65
1157,요양병원,평거요양병원,부산,부산기장군,"부산광역시 기장군 기장읍 대청로36번길 11-33, (기장읍)",6,35.23728419084425,129.21612687484338,20070601,,창고시설,72.0,0.0,0.1379113397317289,소규모 (연면적 1000㎡ 미만),근거리 (1km 미만),일반 (2000~2015년),기타,65
1158,요양병원,평심요양병원,경남,양산시,"경상남도 양산시 하북면 신평로 37, 2~6층",5,35.491573103639894,129.08649777158752, ,, ,13.29,0.0,3.1803281466450946,소규모 (연면적 1000㎡ 미만),원거리 (3km 초과),미상,기타,45
1159,요양병원,평택삼성요양병원,경기,평택시,"경기도 평택시 비전2로 194, 소사벌 어반테라스 1동 5층~9층층 (비전동)",6,37.0007603378641,127.11212672087288, ,,의료시설,9296.14,0.0,1.1289241947390631,대규모 (연면적 3000㎡ 이상),중거리 (1~3km),미상,기타,80
1160,요양병원,평택제니스요양병원,경기,평택시,"경기도 평택시 평택5로 94, 1~8층 (비전동)",5,36.99432281152606,127.11190607587311,20100920,,제1종근린생활시설,1200.9,0.0,0.4190794435409525,중규모 (연면적 1000~3000㎡),근거리 (1km 미만),일반 (2000~2015년),기타,65
1161,요양병원,평화요양병원,대전,대전중구,"대전광역시 중구 대전천서로 745, (중촌동)",4,36.347353658690594,127.40856117462442,20040902,,의료시설,9363.86,0.0,1.1920738740493448,대규모 (연면적 3000㎡ 이상),중거리 (1~3km),일반 (2000~2015년),기타,80
1162,요양병원,평화요양병원,울산,울산울주군,"울산광역시 울주군 언양읍 읍성로 11, 평화요양병원(별관 방천1길 11, 평화요양병원(별관 방천1길 13)",9,35.56569498147623,129.11699687818438, ,,의료시설,4714.13,0.0,1.8191459769210996,대규모 (연면적 3000㎡ 이상),중거리 (1~3km),미상,기타,80
1163,요양병원,포근한맘요양병원,서울,도봉구,"서울특별시 도봉구 삼양로 606, 2~5층 (쌍문동)",2,37.65707681880815,127.01380738539135,20121226,,의료시설,3276.29,0.0,1.510251087326395,대규모 (연면적 3000㎡ 이상),중거리 (1~3km),일반 (2000~2015년),기타,80
1164,요양병원,포레스트요양병원,서울,강남구,"서울특별시 강남구 도산대로 209, 포레스트요양병원 (신사동)",3,37.520505162845836,127.02939062087319, ,,업무시설,4433.16,0.0,0.6874923757339553,대규모 (연면적 3000㎡ 이상),근거리 (1km 미만),미상,기타,65
1165,요양병원,포브스요양병원,경기,용인처인구,"경기도 용인시 처인구 금령로 132, (마평동)",5,37.234927631947244,127.21083816119199,20030707,,의료시설,3058.5,0.0,1.835677360349951,대규모 (연면적 3000㎡ 이상),중거리 (1~3km),일반 (2000~2015년),기타,80
1166,요양병원,포시즌스요양병원,광주,광주동구,"광주광역시 동구 남계길 28, 지하1층~지상4층 (내남동)",2,35.09480773824626,126.93894808489017,,,,,,2.7166846826347326,미상,중거리 (1~3km),미상,기타,100
1167,요양병원,포천새맘요양병원,경기,포천시,"경기도 포천시 내촌면 금강로2536번길 112-12, (내촌면)",2,37.79455394571697,127.24874781862349, ,,교육연구시설,6910.97,0.0,1.6680560010140637,대규모 (연면적 3000㎡ 이상),중거리 (1~3km),미상,기타,65
1168,요양병원,포항이요양병원,경북,포항북구,"경상북도 포항시 북구 중흥로 227,  (죽도동)",4,36.02391373273427,129.35831342736634,20040713,,의료시설,4918.83,0.0,0.922531538503555,대규모 (연면적 3000㎡ 이상),근거리 (1km 미만),일반 (2000~2015년),기타,80
1169,요양병원,포항휴요양병원,경북,포항북구,"경상북도 포항시 북구 새천년대로 1359,  (장성동)",4,36.076666157123086,129.3956867534199,20080708,,제2종근린생활시설,393.14,0.0,1.523260096618864,소규모 (연면적 1000㎡ 미만),중거리 (1~3km),일반 (2000~2015년),기타,65
1170,요양병원,푸르메재단 넥슨어린이재활병원,서울,마포구,"서울특별시 마포구 월드컵북로 494, 지하1층~7층 (상암동, 푸르메재단넥슨어린이재활병원)",6,37.58466089673223,126.88052468193462,20151230,,의료시설,18571.52,0.0,0.5285383752027006,대규모 (연면적 3000㎡ 이상),근거리 (1km 미만),일반 (2000~2015년),기타,100
1171,요양병원,푸른숲요양병원,부산,부산금정구,"부산광역시 금정구 금강로 592, 지1,1,3-7층 (구서동)",4,35.260341534584356,129.08799967164862,20160219,,제1종근린생활시설,4586.9,0.0,0.15545001120942134,대규모 (연면적 3000㎡ 이상),근거리 (1km 미만),신축 (2015년 이후),기타,85
1172,요양병원,푸른요양병원,경남,창원성산구,"경상남도 창원시 성산구 창원천로94번길 82-18, 푸른요양병원(B동) (대원동)",11,35.23722919954865,128.65844080070497, ,,의료시설,24667.5594,0.0,0.8438599882613316,대규모 (연면적 3000㎡ 이상),근거리 (1km 미만),미상,기타,80
