id,facility_type,name,sido,sigungu,address,capacity,caregiver_count,lat,lon,useAprDay,strctCdNm,mainPurpsCdNm,totArea,flrNo,fire_station_dist_km,scale_group,distance_group,age_group,road_type,vam_score
2536,요양원,착한요양원,,파주시,파주시 문산읍 문산역로 107 501~503호 (문산읍),55,17,37.85577414117842,126.78676013170092,20171123,,공동주택,30312.338,0.0,8.444365404150377,대규모 (50인 이상),원거리 (3km 초과),신축 (2015년 이후),기타,45
2537,요양원,술이홀요양원,,파주시,파주시 법원읍 술이홀로907번길 100 (법원읍),26,16,37.85391077094914,126.8747158510059,20140317,,노유자시설,265.0,0.0,1.0339911256564425,중규모 (10~49인),중거리 (1~3km),일반 (2000~2015년),기타,80
2538,요양원,(파주)심청이요양원,,파주시,"파주시 파주로 266 402호 (동패동, 아이비타워)",27,19,37.72617293904427,126.71824195830258,20150213,,교육연구시설,10743.09,0.0,6.276467258993701,중규모 (10~49인),원거리 (3km 초과),일반 (2000~2015년),기타,65
2539,요양원,아름다운요양원,,파주시,파주시 하지석길 355 (하지석동),99,67,37.75636720781387,126.750389426082,20180503,,노유자시설,3496.56,0.0,4.912203550349776,대규모 (50인 이상),원거리 (3km 초과),신축 (2015년 이후),기타,80
2540,요양원,고은요양원,,파주시,"파주시 청석로 262 402호 (동패동, 이지타운)",22,16,37.72517509950512,126.71830634643325,20181129,,제1종근린생활시설,10786.39,0.0,6.167398066227577,중규모 (10~49인),원거리 (3km 초과),신축 (2015년 이후),기타,65
2541,요양원,샬렘요양원,,파주시,파주시 방촌로348번길 40-3 (맥금동),84,55,37.776426009974244,126.7279992677303, ,, ,0.0,0.0,7.567665189052139,대규모 (50인 이상),원거리 (3km 초과),미상,기타,45
2542,요양원,파주프라임요양원,,파주시,"파주시 청암로17번길 67 6층 (목동동, 엠디프라자)",35,26,37.7288460326802,126.73360148366584,20170421,,제2종근린생활시설,9437.18,0.0,5.8537536407912665,중규모 (10~49인),원거리 (3km 초과),신축 (2015년 이후),기타,65
2543,요양원,파주행복요양원,,파주시,파주시 광탄면 양지말길 89 (광탄면),80,52,37.750243756021874,126.85907677874573,20171101,,노유자시설,1964.03,0.0,2.9187216424556017,대규모 (50인 이상),중거리 (1~3km),신축 (2015년 이후),기타,100
2544,요양원,들꽃재활요양원,,파주시,파주시 광탄면 보광로741번길 23-24 (광탄면),49,23,37.76895208876771,126.90072398897041,20190509,,노유자시설,1262.84,0.0,4.409551793985836,중규모 (10~49인),원거리 (3km 초과),신축 (2015년 이후),기타,80
2545,요양원,쏘울랜드요양원,,파주시,파주시 새꽃로 124 3~4층 (금촌동),29,17,37.761095088157646,126.76893385169646,20140527,,교육연구시설,1588.83,0.0,3.5916862338526183,중규모 (10~49인),원거리 (3km 초과),일반 (2000~2015년),기타,45
2546,요양원,은빛요양원,,파주시,파주시 파주로 266 502호 (동패동),27,15,37.72617293904427,126.71824195830258,20150213,,교육연구시설,10743.09,0.0,6.276467258993701,중규모 (10~49인),원거리 (3km 초과),일반 (2000~2015년),기타,65
2547,요양원,라온 요양원,,파주시,파주시 조리읍 능안로 332 (조리읍),99,59,37.74073853769572,126.78859396113174, ,, ,0.0,0.0,1.4708664483840475,대규모 (50인 이상),중거리 (1~3km),미상,기타,65
2548,요양원,파주운정요양원,,파주시,파주시 조리읍 능안로 334 (조리읍),96,45,37.73979986492847,126.78901329333128, ,, ,0.0,0.0,1.4743355981699668,대규모 (50인 이상),중거리 (1~3km),미상,기타,65
2549,요양원,교하효요양원,,파주시,"파주시 청석로 272 9층901호 (동패동, 센타프라자)",49,34,37.72608858308385,126.71780507866504,20211230,,제1종근린생활시설,16337.1,0.0,6.276644034015625,중규모 (10~49인),원거리 (3km 초과),신축 (2015년 이후),기타,65
2550,요양원,필그림재활요양원,,파주시,파주시 광탄면 악대울길 7 (광탄면),99,63,37.77849510057314,126.85133920512692,20220527,,노유자시설,2694.66,0.0,0.3015421269253279,대규모 (50인 이상),근거리 (1km 미만),신축 (2015년 이후),기타,100
2551,요양원,예담요양원,,파주시,파주시 탄현면 새오리로 215-27 (탄현면),49,29,37.80321210668839,126.68706433904129, ,, ,18.0,0.0,12.172127349818354,중규모 (10~49인),원거리 (3km 초과),미상,기타,45
2552,요양원,우리가족요양원,,파주시,파주시 문산읍 방촌로 1675-46 (문산읍),90,36,37.864566691903164,126.78119290714497,20221122,,노유자시설,2536.49,0.0,9.091071519262698,대규모 (50인 이상),원거리 (3km 초과),신축 (2015년 이후),기타,80
2553,요양원,문산재활요양원,,파주시,"파주시 문산읍 문산역로 107 (문산읍, 4층 402호)",48,11,37.85577414117842,126.78676013170092,20171123,,공동주택,30312.338,0.0,8.444365404150377,중규모 (10~49인),원거리 (3km 초과),신축 (2015년 이후),기타,45
2554,요양원,이화요양원(본관),,파주시,파주시 파주읍 바리골길 114 (파주읍),16,8,37.84908998416802,126.81607990333652,20220602,,노유자시설,441.64,0.0,5.816502244527553,중규모 (10~49인),원거리 (3km 초과),신축 (2015년 이후),기타,80
2555,요양원,소망재활요양원,,파주시,파주시 새꽃로 95 나동 (금촌동),29,11,37.758762303006115,126.76810206728925,20021218,,교육연구및복지시설,1350.6,0.0,3.5361748761451137,중규모 (10~49인),원거리 (3km 초과),일반 (2000~2015년),기타,25
2556,요양원,아도니스너싱홈,,파주시,"파주시 한마음2길 25 401, 402호 (금촌동)",21,11,37.75635319220672,126.77210333968506,20131128,,제1종근린생활시설,8422.15,0.0,3.104668866459445,중규모 (10~49인),원거리 (3km 초과),일반 (2000~2015년),기타,45
2557,요양원,카리스요양원,,파주시,파주시 상지석길 318-29 (상지석동),49,31,37.72656524798096,126.79057943882735,20190419,,교육연구시설,1626.0,0.0,2.389397697581927,중규모 (10~49인),중거리 (1~3km),신축 (2015년 이후),기타,85
2558,요양원,힐링요양원,,파주시,파주시 청석로 260 901호 (동패동),46,30,37.725072089225705,126.71774638595394,20090223,,업무시설,12981.78,0.0,6.168395988427018,중규모 (10~49인),원거리 (3km 초과),일반 (2000~2015년),기타,45
2559,요양원,예사랑요양원,,파주시,파주시 숲속노을로 265 501호 (문발동),29,19,37.724105798225935,126.71120520781,20101109,,제2종근린생활시설,5236.96,0.0,6.2354171322050105,중규모 (10~49인),원거리 (3km 초과),일반 (2000~2015년),기타,45
2560,요양원,아리랑 골든케어,,파주시,파주시 탄현면 새오리로 215-34 (탄현면),65,29,37.803727216232815,126.687678522113, ,,제2종근린생활시설,396.0,0.0,12.156954109780884,대규모 (50인 이상),원거리 (3km 초과),미상,기타,45
2561,요양원,운정그레이스요양원,,파주시,파주시 경의로1004번길 37 601호 (야당동),28,17,37.709764165622005,126.75981803363405,20191101,,제1종근린생활시설,11866.68,0.0,2.7307253148235944,중규모 (10~49인),중거리 (1~3km),신축 (2015년 이후),기타,85
2562,요양원,보금자리노인전문요양원,,파주시,"파주시 한마음1길 9 (금촌동, 107, 201, 302, 401호)",49,30,37.75570796187476,126.77059849471486,20031112,,제1종근린생활시설,2203.28,0.0,3.1989061873005205,중규모 (10~49인),원거리 (3km 초과),일반 (2000~2015년),기타,45
2563,요양원,천상의집,,이천시,이천시 설성면 진상미로924번길 121-36 (설성면),49,28,37.1513845578999,127.49929715010757, ,, ,0.0,0.0,2.6687094924129875,중규모 (10~49인),중거리 (1~3km),미상,기타,65
2564,요양원,양지의료재단 부설 양지종합요양센터,,이천시,이천시 호법면 덕평로 224 3층 (호법면),40,17,37.187586358964516,127.37782043776375,20140826,,의료시설,7563.53,0.0,2.254236597527687,중규모 (10~49인),중거리 (1~3km),일반 (2000~2015년),기타,65
